genome	organism	genes_before_filter	genes_after_filter	difference
yHMPu5000034963_hanseniaspora_clermontiae_160519	hanseniaspora_clermontiae	4450	4301	149
yHMPu5000034967_candida_freyschussii_160519	candida_freyschussii	5527	5515	12
yHMPu5000034973_danielozyma_ontarioensis_160519	danielozyma_ontarioensis	5149	5140	9
yHMPu5000034974_deakozyma_indianensis_160519	deakozyma_indianensis	5535	5524	11
yHMPu5000034978_cyberlindnera_mrakii_160519	cyberlindnera_mrakii	6157	6071	86
yHMPu5000034979_cyberlindnera_misumaiensis_160519	cyberlindnera_misumaiensis	5588	5524	64
yHMPu5000034986_candida_oregonensis_160519	candida_oregonensis	5328	5293	35
yHMPu5000034988_candida_fructus_160519	candida_fructus	5017	4972	45
yHMPu5000034990_candida_corydali_160519	candida_corydali	5412	5120	292
yHMPu5000034998_cephaloascus_albidus_160519	cephaloascus_albidus	7315	6862	453
yHMPu5000034999_cephaloascus_fragrans_160519	cephaloascus_fragrans	5865	5852	13
yHMPu5000035011_candida_pyralidae_160519	candida_pyralidae	5373	5354	19
yHMPu5000035018_candida_canberraensis_160519	candida_canberraensis	5763	5729	34
yHMPu5000035022_candida_emberorum_160519	candida_emberorum	5471	5441	30
yHMPu5000035031_candida_kruisii_160519	candida_kruisii	5754	5274	480
yHMPu5000035032_candida_gatunensis_160519	candida_gatunensis	5262	5221	41
yHMPu5000035033_candida_cretensis_160519	candida_cretensis	5169	5160	9
yHMPu5000035037_candida_montana_160519	candida_montana	5819	5806	13
yHMPu5000035040_ambrosiozyma_maleeae_160519	ambrosiozyma_maleeae	5316	5297	19
yHMPu5000035041_ambrosiozyma_pseudovanderkliftii_160519	ambrosiozyma_pseudovanderkliftii	5927	5860	67
yHMPu5000035044_barnettozyma_californica_160519	barnettozyma_californica	5810	5750	60
yHMPu5000035045_barnettozyma_hawaiiensis_160613	barnettozyma_hawaiiensis	5371	5349	22
yHMPu5000035046_barnettozyma_populi_160613	barnettozyma_populi	5594	5584	10
yHMPu5000035047_barnettozyma_pratensis_160519	barnettozyma_pratensis	5854	5814	40
yHMPu5000035048_barnettozyma_salicaria_160519	barnettozyma_salicaria	5586	5302	284
yHMPu5000035242_zygoascus_ofunaensis_160928	zygoascus_ofunaensis	5725	5712	13
yHMPu5000035243_zygoascus_meyerae_160928	zygoascus_meyerae	5629	5621	8
yHMPu5000035244_candida_incommunis_160928	candida_incommunis	5696	5683	13
yHMPu5000035252_yamadazyma_nakazawae_160928	yamadazyma_nakazawae	5331	5314	17
yHMPu5000035261_candida_ponderosae_160928	candida_ponderosae	7327	7276	51
yHMPu5000035268_wickerhamomyces_hampshirensis_160928	wickerhamomyces_hampshirensis	6241	6186	55
yHMPu5000035271_wickerhamomyces_bovis_160928	wickerhamomyces_bovis	5850	5812	38
yHMPu5000035274_wickerhamomyces_alni_160928	wickerhamomyces_alni	6112	6077	35
yHMPu5000035279_tortispora_starmeri_160928	tortispora_starmeri	4978	4974	4
yHMPu5000035282_trigonopsis_vinaria_160928	trigonopsis_vinaria	5420	5405	15
yHMPu5000035286_candida_azyma_160928	candida_azyma	5949	5933	16
yHMPu5000035296_priceomyces_carsonii_160928	priceomyces_carsonii	5670	5658	12
yHMPu5000035297_priceomyces_castillae_160928	priceomyces_castillae	5158	5106	52
yHMPu5000035301_pichia_terricola_160928	pichia_terricola	5195	5183	12
yHMPu5000035302_candida_fragi_160928	candida_fragi	5376	5352	24
yHMPu5000035318_hyphopichia_heimii_160928	hyphopichia_heimii	5882	5868	14
yHMPu5000035325_cyberlindnera_petersonii_160928	cyberlindnera_petersonii	5769	5751	18
yHMPu5000035335_candida_blattae_160928	candida_blattae	5526	5513	13
yHMPu5000035629_yueomyces_sinensis_160519	yueomyces_sinensis	5545	5437	108
yHMPu5000035633_candida_hispaniensis_160519	candida_hispaniensis	5389	5346	43
yHMPu5000035639_wickerhamomyces_canadensis_160613	wickerhamomyces_canadensis	5950	5932	18
yHMPu5000035640_yamadazyma_philogaea_160519	yamadazyma_philogaea	4854	4830	24
yHMPu5000035641_yamadazyma_scolyti_160613	yamadazyma_scolyti	5207	5200	7
yHMPu5000035643_yarrowia_bubula_160519	yarrowia_bubula	6797	6693	104
yHMPu5000035645_yarrowia_divulgata_160519	yarrowia_divulgata	6691	6593	98
yHMPu5000035650_trigonopsis_variabilis_160613	trigonopsis_variabilis	5469	5466	3
yHMPu5000035651_torulaspora_microellipsoides_160519	torulaspora_microellipsoides	5298	5010	288
yHMPu5000035652_torulaspora_maleeae_160613	torulaspora_maleeae	4312	4309	3
yHMPu5000035654_tortispora_ganteri_160519	tortispora_ganteri	5266	5139	127
yHMPu5000035658_starmera_amethionina_160613	starmera_amethionina	5836	5511	325
yHMPu5000035659_saturnispora_dispora_160519	saturnispora_dispora	4881	4824	57
yHMPu5000035662_meyerozyma_caribbica_160613	meyerozyma_caribbica	5027	5022	5
yHMPu5000035665_middelhovenomyces_tepae_160613	middelhovenomyces_tepae	6443	6435	8
yHMPu5000035667_kurtzmaniella_cleridarum_160928	kurtzmaniella_cleridarum	5478	5463	15
yHMPu5000035670_phaffomyces_opuntiae_160613	phaffomyces_opuntiae	5913	5887	26
